,UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Candidate
49,Ani Abello,@ANIABELLO_R,2021-06-15T00:24:43.000Z,"El mejor presidente que ha visto Colombia está en este momento en 
@RevistaSemana
 
#LaVerdadDeUribe",67,223,465,Uribe
50,Ani Abello,@ANIABELLO_R,2021-06-15T00:33:19.000Z,"Si me preguntan a quién le creo, si “al señor” o al presidente Uribe. Obvio le creo a 
@AlvaroUribeVel
 
#LaVerdadDeUribe",105,536,"1,4 mil",Uribe
51,Laura Medina Ruiz,@LauraMedinaRuiz,2021-06-14T23:06:08.000Z,"Buenas tardes familia uribista a las 7 pm estaremos todos conectados con el presidente 
@AlvaroUribeVel
 en su entrevista con 
@VickyDavilaH
 en 
@RevistaSemana
  y conoceremos la verdad que han distorsionado. No se lo pierdan 7 pm.

#LaVerdadDeUribe",18,107,269,Uribe
52,Laura Medina Ruiz,@LauraMedinaRuiz,2021-06-14T18:22:10.000Z,"Familia uribista necesitamos estar unidos respaldando a nuestro presidente 
@AlvaroUribeVel
 en la entrevista con 
@VickyDavilaH
 @RevistaSemana
 esta noche a las 7pm.

La verdad de los falsos positivos Colombia la debe conocer.
#LaVerdadDeUribe",217,684,"1,8 mil",Uribe
53,Jaime Arizabaleta,@jarizabaletaf,2021-06-14T23:58:44.000Z,"Ya casi empieza la entrevista de Vicky Dávila al Presidente Uribe, importante no dejar de utilizar el numeral #LaVerdadDeUribe",88,345,963,Uribe
54,Jaime Arizabaleta,@jarizabaletaf,2021-06-15T00:22:53.000Z,"Santos y Farc aplican la famosa frase de William Shakespeare como estrategia para reescribir la historia: La mejor forma de convertir a los malos en buenos es primero haciéndolos pasar a todos por malos.

Ese es su propósito, por eso enlodan a Uribe y a las FFMM #LaVerdadDeUribe",39,385,740,Uribe
55,Laura Medina Ruiz,@LauraMedinaRuiz,2021-06-15T00:25:49.000Z,"El nefasto 
@JuanManSantos
 es un mentiroso que sacó un tema de doctrina de Vietnam que NUNCA existió en nuestro país. 

#LaVerdadDeUribe es la verdad del país. Las CIFRAS no mienten.",56,322,732,Uribe
56,Sergio David Prieto Romero,@sergio_prieto10,2021-06-15T00:46:41.000Z,"Los lineamientos de la Política de Defensa y Seguridad Democrática (numeral 116) expedida en el año 2003 priorizó la protección de desmovilizados y niños combatientes. 
#LaVerdadDeUribe",1,17,36,Uribe
57,Laura Medina Ruiz,@LauraMedinaRuiz,2021-06-15T00:46:03.000Z,"El doble cara de 
@JuanManSantos
 pidió que lo nombraran como Ministro de Defensa, luego como buen traidor se lava las manos, ignora que en su ministerio se dispararon los falsos positivos. 

#LaVerdadDeUribe",32,214,467,Uribe
58,Daniela Fajardo,@DanielaFajardoD,2021-06-15T00:35:21.000Z,"Las cifras durante el Gobierno del presidente 
@AlvaroUribeVel
: 

- 53.663 desmovilizados 
- 29.000 capturados 
- 13.000 bajas 

ES FALSO que la doctrina en su Gobierno haya sido priorizar las bajas. 

#LaVerdadDeUribe",117,144,277,Uribe
59,Carlos Felipe Mejía,@CARLOSFMEJIA,2021-06-12T17:16:54.000Z,"A Juan Manuel Santos le digo: La #SeguridadDemocrática era para lograr paz, no para entregar el país al narcosocialismo robandose reelección con dineros de Odebrecht y plebiscito con mermelada. La cárcel debería ser su único destino. Cínico sinvergüenza, cuánto dañó a Colombia!",96,784,"1,2 mil",Uribe
60,EstebanQuintero CDSenado,@estebanquincar,2021-06-10T16:17:36.000Z,"#GestionesPorRionegro 

Hoy estamos desde el 
@ConcejoRionegro
 hablando sobre algunas de las gestiones logradas desde la 
@CamaraColombia
 para nuestro amado municipio. 

A continuación, haré referencia de las obras más significativas ",8,14,36,Uribe
61,Christian Garcés CD 101,@ChriGarces,2021-06-09T16:02:46.000Z,"¿Cómo es que el alcalde 
@JorgeIvanOspina
 dice que el patrullero Carlos Andrés Rincón murió ahogado, si el análisis forense reportó que fue sometido a tortura y recibió impactos con arma de fuego? 
¿A quién le sirve usted alcalde con esas declaraciones? 
@CIDH",236,646,725,Uribe
62,Jhon Jairo Berrío López CD #110,@jberriolopez,2021-06-09T22:04:36.000Z,"En esto coinciden siempre los ""políticos"" de determinada línea:

¡Predican pero nunca aplican!

No hay derecho que los recursos públicos se destinen a viáticos para este señor ir de viaje a ver el partido de la selección.",6,88,155,Uribe
63,Juan David Vélez - CD 401 Cámara Exterior,@JuanDaVelez,2021-06-09T14:41:33.000Z,"#EstamosTrabajando: a 
@CIDH
, 
@totonia68
 manifesté que en Colombia millones de compatriotas han acudido a las calles a manifestarse, pacíficamente en varias oportunidades, sin generar terror o pánico.

La manifestación pacífica es un derecho, así como la libertad y el orden.",3,18,41,Uribe
64,Christian Garcés CD 101,@ChriGarces,2021-06-08T16:57:07.000Z,"Es fundamental que la 
@CIDH
 examine los casos donde civiles armados ilegalmente disparan contra 
@PoliciaColombia
 en algunas manifestaciones y puntos de bloqueo; son ataques criminales que muchos de los promotores del #ParoNacional están pasando por alto.
#ALaCIDHLeDigo",46,235,337,Uribe
65,Nicolás Pérez Vásquez,@nperezvasquez,2021-06-07T13:49:14.000Z,"Les comparto mi #ColumnaDeOpinión: Soluciones reales para los trabajadores.

En vez de presentar un pliego de peticiones irrealizables como las del Comité del Paro, debemos plantear medidas reales y una de ellas es la reducción de la jornada laboral.",6,44,98,Uribe
66,Álvaro Uribe Vélez,@AlvaroUribeVel,2021-06-07T13:14:27.000Z,Urgencia parlamentaria de soluciones sociales para la juventud y la pobreza; frente a la violencia disuasión policiva y militar,323,574,"1,2 mil",Uribe
67,Óscar Iván Zuluaga,@OIZuluaga,2021-06-05T20:08:56.000Z,"¡Colombia necesita ACTIVAR el EMPLEO de manera inmediata! 

He presentado PROPUESTA de 40.000 EMPLEOS dirigidos a Cali y Buenaventura: actividades productivas que reconstruyan el tejido social HOY.

Es estrategia que sirve a TODO municipio del PAÍS para salir de esta crisis",107,259,650,Uribe
68,Alejandro Corrales CD32,@AlejoCorralesCD,2021-06-03T20:19:46.000Z,El último mes una minoría organizada ha sumido a nuestro país en el caos y el vandalismo. #EsMomentoDe no dejarnos asustar ni amenazar por quienes quieren destruir nuestra democracia.,18,102,193,Uribe
69,Alfredo Ramos,@AlfredoRamosM,2021-06-03T19:07:16.000Z,"Medellín como distrito de innovación debe ser un paso en la consolidación de progreso, de oportunidades, de desarrollo para todos sus ciudadanos.
Un avance que debemos aprovechar para construir entre todos una ciudad cada vez más moderna",23,175,463,Uribe
70,Juan David Vélez - CD 401 Cámara Exterior,@JuanDaVelez,2021-06-03T19:45:14.000Z,"#TrabajamosYCUMPLIMOS: 
@CamaraColombia
 acogió mi ponencia y aprobó Convenio Iberoamericano de Seguridad Social.

¡Ahora será Ley que #ColombianosEnElExterior en Suramerica , El Salvador, España, Portugal y República Dominicana puedan cotizar y acceder a su pensión!",2,9,23,Uribe
71,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-06-03T18:42:54.000Z,"""Con Medellín vencedora de mil desafíos, de la distancia para industrializarse, del narcotráfico, para consagrarse como ciudad de educación y
ciencia"": Álvaro Uribe
Hoy Medellín es Distrito Especial de Ciencia, Tecnología e Innovación por un proyecto de autoría de 
@AlvaroUribeVel",29,268,718,Uribe
72,Juan Espinal CD 116,@Juan_EspinalR,2021-06-03T18:27:48.000Z,"Autoría del Presidente 
@AlvaroUribeVel
. #Gracolombiano
@PaolaHolguin
 @simonmolinag
 @veronicaarango_",22,63,175,Uribe
73,Juan Espinal CD 116,@Juan_EspinalR,2021-06-03T18:14:03.000Z,"Gracias al Presidente 
@AlvaroUribeVel
 por esta iniciativa, Medellín se lo agradece, es una gran oportunidad para nuestra ciudad, para la ciudad de la eterna primavera! #ElGranColombiano 
@CeDemocratico",15,161,389,Uribe
74,Christian Garcés CD 101,@ChriGarces,2021-06-03T16:26:12.000Z,"Para Cali, el Valle y todo el suroccidente colombiano #EsElMomento de mantener la asistencia militar y el trabajo conjunto de 
@PoliciaColombia
 @COL_EJERCITO
 levantando bloqueos ilegales en todas las vías de la Región. Dialoguemos sin bloqueos ni vandalismo. #NoMásBloqueos",22,135,375,Uribe
75,Enrique Cabrales Baquero,@kikecabralesCD,2021-06-03T14:26:38.000Z,"Ese tal ""Comité"" parece cada día avanzar hacia la meta de desestabilizar el país. Existen herramientas que son legítimas por parte del Estado para defender la seguridad y derechos de todos, no se puede esperar más.",3,30,41,Uribe
76,Álvaro Uribe Vélez,@AlvaroUribeVel,2021-06-02T11:51:51.000Z,"Ojo con formato de negociación de algunos promotores del Paro y sus patrocinadores políticos:

“Reclamo violencia acuerdo, nuevo reclamo reaparece violencia, hasta elecciones para imponer el socialismo”

Socialismo destruye línea dura expropiaciones o blanda de restricciones,",756,"1,3 mil","2,8 mil",Uribe
77,Fernando Nicolás Araújo,@FNAraujoR,2021-06-01T15:11:32.000Z,"Estaría de acuerdo con 

• menor salario a congresistas y austeridad para matrícula cero.
• tarifa a empresas 34% para apoyar descentralización.
• conservar descuento de I&C en 50% para ingreso solidario.
• una sobre tasa temporal al sector financiero para subsidio de nómina.",160,172,511,Uribe
78,Álvaro Uribe Vélez,@AlvaroUribeVel,2021-06-02T13:29:03.000Z,"Desbloqueos no son por buena fe de miembros del paro, son por trabajo de fuerza pública: MinInterior",296,"1,5 mil","3,6 mil",Uribe
79,Álvaro Uribe Vélez,@AlvaroUribeVel,2021-06-02T02:20:06.000Z,"Indígenas del CRIC siguen con los bloqueos. Hoy, algunos de ellos embriagados, echaron con insultos y gases a una delegación de altos funcionarios del Gbno que fue a dialogar. 

Con estos autoridad.

Para dialogar hay muchos compatriotas indígenas razonables",421,"1,6 mil","3,3 mil",Uribe
80,Juan Espinal CD 116,@Juan_EspinalR,2021-06-02T13:42:29.000Z,"Por el doctor 
@FlondonoHoyos
 respeto y admiración, su inteligencia, experiencia y patriotismo son ejemplo. 

Quizás, si los políticos y gobernantes escucharán más a los sabios, evitaríamos errores.",18,92,238,Uribe
81,Laura Medina Ruiz,@LauraMedinaRuiz,2021-06-02T16:10:34.000Z,"Ante la comunidad internacional no puede quedar la falsa imagen que la izquierda radical quiere vender. 

Gracias congresistas del 
@CeDemocratico
 por esta importante tarea de defender a Colombia. 

https://kienyke.com/politica/gira-diplomatica-de-congresistas-del-centro-democratico-en-washington…",101,597,"1,3 mil",Uribe
82,Paloma Valencia L,@PalomaValenciaL,2021-06-02T16:08:24.000Z,"La situación en Providencia es crítica: no hay gas, no hay gasolina, están incomunicados (claro está caído) y empezaron las lluvias…
Se requiere atención urgente para los ciudadanos en Providencia",4 mil,"1,2 mil","3,6 mil",Uribe
83,Alejandro Corrales CD32,@AlejoCorralesCD,2021-06-02T14:22:02.000Z,"Los responsables de los bloqueos, de la quiebra de campesinos y empresarios, quienes atizaron el ambiente en contra de nuestra fuerza pública no pueden quedar en la impunidad, deben ser judicializados.",33,105,248,Uribe
84,Christian Garcés CD 101,@ChriGarces,2021-06-02T12:11:49.000Z,"Alcalde de Cali debe generar acuerdos con los diversos actores del Paro y los jóvenes que están en los bloqueos, pero sin legitimar la violencia y con apoyo decidido a 
@PoliciaColombia
 y 
@COL_EJERCITO
 para que se respete la decisión de desbloquear la ciudad. #LevantarBloqueosEs",33,123,212,Uribe
85,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-05-27T20:57:52.000Z,"Te invitamos a conocer la política social de 
@AlvaroUribeVel
 en el período presidencial 2002- 2006.",19,91,160,Uribe
86,Diego Molano Aponte,@Diego_Molano,2021-06-01T23:07:05.000Z,"La decisión de la 
@CamaraColombia
 ratifica la confianza de los colombianos en nuestra Fuerza Pública. Seguiremos trabajando para garantizar una democracia segura para todos. Refrendo mi compromiso con ella como 
@mindefensa",476,"1,3 mil","3,5 mil",Uribe
87,Jhon Jairo Berrío López CD #110,@jberriolopez,2021-06-01T23:36:15.000Z,"De manera contundente en la 
@CamaraColombia
 apoyamos al Ministro de Defensa 
@Diego_Molano
, apoyamos a la fuerza pública y decididamente apoyamos a nuestra institucionalidad.",24,89,343,Uribe
88,Christian Garcés CD 101,@ChriGarces,2021-06-01T17:36:03.000Z,"La 
@PGN_COL
 @FiscaliaCol
 deben tomar medidas inmediatas.Acciones y omisiones de 
@JorgeIvanOspina
 están generando muertes y daños a propiedades y bienes públicos de Cali.Él no puede desconocer órdenes del Gobierno en Decreto 575 ni impedir asistencia militar para levantar bloqueos",221,495,734,Uribe
89,Alejandro Corrales CD32,@AlejoCorralesCD,2021-05-30T21:15:20.000Z,"La verdadera resistencia son los colombianos que siguen sacando este país adelante pese al vandalismo y al caos. 

Bogotá y Colombia entera exigen NO más bloqueos.",84,367,958,Uribe
90,Gabriel Velasco #CD13,@gabrieljvelasco,2021-05-30T21:07:32.000Z,"Hoy he recibido insultos y amenazas de un número importante de teléfonos. Parece que han difundido mi número para silenciarme. Esa es la protesta pacífica, o el ejercicio de la oposición.

Algunos dicen ser seguidores 
@petrogustavo
. Espero nada me pase a mi o mi familia. 1 eje",154,416,492,Uribe
91,Jhon Jairo Berrío López CD #110,@jberriolopez,2021-05-30T15:27:49.000Z,"¡Que grande #Egan! ante el mundo hoy muestras lo que en realidad somos los colombianos, un país resiliente, de gente emprendedora, alegre y pujante.",5,30,165,Uribe
